item_id,store_id,state_id,demand,date,month,year,is_holiday,sell_price,days_until_expiry
FOODS_1_018,CA_1,CA,17,2011-01-29,1,2011,0,1.0,4
FOODS_1_085,CA_1,CA,10,2011-01-29,1,2011,0,1.0,5
FOODS_1_218,CA_1,CA,10,2011-01-29,1,2011,0,1.0,3
FOODS_1_018,CA_2,CA,4,2011-01-29,1,2011,0,1.0,5
FOODS_1_085,CA_2,CA,4,2011-01-29,1,2011,0,1.0,5
FOODS_1_218,CA_2,CA,9,2011-01-29,1,2011,0,1.0,2
FOODS_1_018,CA_3,CA,2,2011-01-29,1,2011,0,1.0,3
FOODS_1_085,CA_3,CA,3,2011-01-29,1,2011,0,1.0,3
FOODS_1_218,CA_3,CA,10,2011-01-29,1,2011,0,1.0,3
FOODS_1_018,CA_4,CA,2,2011-01-29,1,2011,0,1.0,5
FOODS_1_085,CA_4,CA,1,2011-01-29,1,2011,0,1.0,4
FOODS_1_218,CA_4,CA,1,2011-01-29,1,2011,0,1.0,3
FOODS_1_018,TX_1,TX,0,2011-01-29,1,2011,0,0.92,5
FOODS_1_085,TX_1,TX,2,2011-01-29,1,2011,0,0.92,2
FOODS_1_218,TX_1,TX,4,2011-01-29,1,2011,0,0.92,4
FOODS_1_018,TX_2,TX,4,2011-01-29,1,2011,0,0.92,2
FOODS_1_085,TX_2,TX,1,2011-01-29,1,2011,0,0.92,4
FOODS_1_218,TX_2,TX,5,2011-01-29,1,2011,0,0.92,5
FOODS_1_018,TX_3,TX,5,2011-01-29,1,2011,0,0.92,1
FOODS_1_085,TX_3,TX,1,2011-01-29,1,2011,0,0.92,4
FOODS_1_218,TX_3,TX,3,2011-01-29,1,2011,0,0.92,2
FOODS_1_018,WI_1,WI,9,2011-01-29,1,2011,0,1.0,5
FOODS_1_085,WI_1,WI,17,2011-01-29,1,2011,0,1.0,4
FOODS_1_218,WI_1,WI,6,2011-01-29,1,2011,0,1.0,1
FOODS_1_018,WI_2,WI,2,2011-01-29,1,2011,0,1.0,1
FOODS_1_085,WI_2,WI,5,2011-01-29,1,2011,0,1.0,3
FOODS_1_218,WI_2,WI,5,2011-01-29,1,2011,0,1.0,3
FOODS_1_018,WI_3,WI,2,2011-01-29,1,2011,0,1.0,2
FOODS_1_085,WI_3,WI,8,2011-01-29,1,2011,0,1.0,4
FOODS_1_218,WI_3,WI,3,2011-01-29,1,2011,0,1.0,4
FOODS_1_018,CA_1,CA,3,2011-01-30,1,2011,0,1.0,3
FOODS_1_085,CA_1,CA,15,2011-01-30,1,2011,0,1.0,4
FOODS_1_218,CA_1,CA,3,2011-01-30,1,2011,0,1.0,4
FOODS_1_018,CA_2,CA,1,2011-01-30,1,2011,0,1.0,1
FOODS_1_085,CA_2,CA,6,2011-01-30,1,2011,0,1.0,3
FOODS_1_218,CA_2,CA,11,2011-01-30,1,2011,0,1.0,5
FOODS_1_018,CA_3,CA,2,2011-01-30,1,2011,0,1.0,3
FOODS_1_085,CA_3,CA,8,2011-01-30,1,2011,0,1.0,5
FOODS_1_218,CA_3,CA,10,2011-01-30,1,2011,0,1.0,1
FOODS_1_018,CA_4,CA,0,2011-01-30,1,2011,0,1.0,2
FOODS_1_085,CA_4,CA,1,2011-01-30,1,2011,0,1.0,4
FOODS_1_218,CA_4,CA,0,2011-01-30,1,2011,0,1.0,1
FOODS_1_018,TX_1,TX,1,2011-01-30,1,2011,0,0.92,4
FOODS_1_085,TX_1,TX,0,2011-01-30,1,2011,0,0.92,2
FOODS_1_218,TX_1,TX,3,2011-01-30,1,2011,0,0.92,2
FOODS_1_018,TX_2,TX,1,2011-01-30,1,2011,0,0.92,1
FOODS_1_085,TX_2,TX,3,2011-01-30,1,2011,0,0.92,2
FOODS_1_218,TX_2,TX,3,2011-01-30,1,2011,0,0.92,5
FOODS_1_018,TX_3,TX,1,2011-01-30,1,2011,0,0.92,2
FOODS_1_085,TX_3,TX,2,2011-01-30,1,2011,0,0.92,4
FOODS_1_218,TX_3,TX,1,2011-01-30,1,2011,0,0.92,4
FOODS_1_018,WI_1,WI,13,2011-01-30,1,2011,0,1.0,4
FOODS_1_085,WI_1,WI,22,2011-01-30,1,2011,0,1.0,4
FOODS_1_218,WI_1,WI,11,2011-01-30,1,2011,0,1.0,5
FOODS_1_018,WI_2,WI,4,2011-01-30,1,2011,0,1.0,3
FOODS_1_085,WI_2,WI,7,2011-01-30,1,2011,0,1.0,1
FOODS_1_218,WI_2,WI,2,2011-01-30,1,2011,0,1.0,4
FOODS_1_018,WI_3,WI,0,2011-01-30,1,2011,0,1.0,2
FOODS_1_085,WI_3,WI,0,2011-01-30,1,2011,0,1.0,4
FOODS_1_218,WI_3,WI,1,2011-01-30,1,2011,0,1.0,2
FOODS_1_018,CA_1,CA,8,2011-01-31,1,2011,0,1.0,2
FOODS_1_085,CA_1,CA,13,2011-01-31,1,2011,0,1.0,4
FOODS_1_218,CA_1,CA,4,2011-01-31,1,2011,0,1.0,5
FOODS_1_018,CA_2,CA,5,2011-01-31,1,2011,0,1.0,2
FOODS_1_085,CA_2,CA,2,2011-01-31,1,2011,0,1.0,2
FOODS_1_218,CA_2,CA,10,2011-01-31,1,2011,0,1.0,4
FOODS_1_018,CA_3,CA,2,2011-01-31,1,2011,0,1.0,2
FOODS_1_085,CA_3,CA,0,2011-01-31,1,2011,0,1.0,2
FOODS_1_218,CA_3,CA,9,2011-01-31,1,2011,0,1.0,4
FOODS_1_018,CA_4,CA,0,2011-01-31,1,2011,0,1.0,4
FOODS_1_085,CA_4,CA,0,2011-01-31,1,2011,0,1.0,1
FOODS_1_218,CA_4,CA,1,2011-01-31,1,2011,0,1.0,5
FOODS_1_018,TX_1,TX,0,2011-01-31,1,2011,0,0.92,5
FOODS_1_085,TX_1,TX,1,2011-01-31,1,2011,0,0.92,2
FOODS_1_218,TX_1,TX,2,2011-01-31,1,2011,0,0.92,5
FOODS_1_018,TX_2,TX,0,2011-01-31,1,2011,0,0.92,2
FOODS_1_085,TX_2,TX,0,2011-01-31,1,2011,0,0.92,1
FOODS_1_218,TX_2,TX,2,2011-01-31,1,2011,0,0.92,4
FOODS_1_018,TX_3,TX,8,2011-01-31,1,2011,0,0.92,4
FOODS_1_085,TX_3,TX,0,2011-01-31,1,2011,0,0.92,4
FOODS_1_218,TX_3,TX,4,2011-01-31,1,2011,0,0.92,5
FOODS_1_018,WI_1,WI,3,2011-01-31,1,2011,0,1.0,1
FOODS_1_085,WI_1,WI,14,2011-01-31,1,2011,0,1.0,5
FOODS_1_218,WI_1,WI,5,2011-01-31,1,2011,0,1.0,5
FOODS_1_018,WI_2,WI,2,2011-01-31,1,2011,0,1.0,1
FOODS_1_085,WI_2,WI,7,2011-01-31,1,2011,0,1.0,1
FOODS_1_218,WI_2,WI,1,2011-01-31,1,2011,0,1.0,1
FOODS_1_018,WI_3,WI,2,2011-01-31,1,2011,0,1.0,1
FOODS_1_085,WI_3,WI,8,2011-01-31,1,2011,0,1.0,4
FOODS_1_218,WI_3,WI,10,2011-01-31,1,2011,0,1.0,3
FOODS_1_018,CA_1,CA,2,2011-02-01,2,2011,0,1.0,3
FOODS_1_085,CA_1,CA,5,2011-02-01,2,2011,0,1.0,1
FOODS_1_218,CA_1,CA,0,2011-02-01,2,2011,0,1.0,3
FOODS_1_018,CA_2,CA,4,2011-02-01,2,2011,0,1.0,3
FOODS_1_085,CA_2,CA,5,2011-02-01,2,2011,0,1.0,1
FOODS_1_218,CA_2,CA,6,2011-02-01,2,2011,0,1.0,3
FOODS_1_018,CA_3,CA,3,2011-02-01,2,2011,0,1.0,5
FOODS_1_085,CA_3,CA,3,2011-02-01,2,2011,0,1.0,2
FOODS_1_218,CA_3,CA,3,2011-02-01,2,2011,0,1.0,2
FOODS_1_018,CA_4,CA,2,2011-02-01,2,2011,0,1.0,1
FOODS_1_085,CA_4,CA,1,2011-02-01,2,2011,0,1.0,4
FOODS_1_218,CA_4,CA,1,2011-02-01,2,2011,0,1.0,1
FOODS_1_018,TX_1,TX,0,2011-02-01,2,2011,0,0.92,4
FOODS_1_085,TX_1,TX,2,2011-02-01,2,2011,0,0.92,2
FOODS_1_218,TX_1,TX,2,2011-02-01,2,2011,0,0.92,1
FOODS_1_018,TX_2,TX,1,2011-02-01,2,2011,0,0.92,5
FOODS_1_085,TX_2,TX,1,2011-02-01,2,2011,0,0.92,3
FOODS_1_218,TX_2,TX,1,2011-02-01,2,2011,0,0.92,4
FOODS_1_018,TX_3,TX,1,2011-02-01,2,2011,0,0.92,3
FOODS_1_085,TX_3,TX,5,2011-02-01,2,2011,0,0.92,3
FOODS_1_218,TX_3,TX,2,2011-02-01,2,2011,0,0.92,1
FOODS_1_018,WI_1,WI,3,2011-02-01,2,2011,0,1.0,3
FOODS_1_085,WI_1,WI,11,2011-02-01,2,2011,0,1.0,5
FOODS_1_218,WI_1,WI,10,2011-02-01,2,2011,0,1.0,3
FOODS_1_018,WI_2,WI,8,2011-02-01,2,2011,0,1.0,1
FOODS_1_085,WI_2,WI,7,2011-02-01,2,2011,0,1.0,5
FOODS_1_218,WI_2,WI,1,2011-02-01,2,2011,0,1.0,2
FOODS_1_018,WI_3,WI,0,2011-02-01,2,2011,0,1.0,3
FOODS_1_085,WI_3,WI,5,2011-02-01,2,2011,0,1.0,1
FOODS_1_218,WI_3,WI,2,2011-02-01,2,2011,0,1.0,2
FOODS_1_018,CA_1,CA,5,2011-02-02,2,2011,0,1.0,2
FOODS_1_085,CA_1,CA,11,2011-02-02,2,2011,0,1.0,4
FOODS_1_218,CA_1,CA,0,2011-02-02,2,2011,0,1.0,5
FOODS_1_018,CA_2,CA,3,2011-02-02,2,2011,0,1.0,3
